assessment_id,assessment_title,tool_version,tool_release_date,scenario,scenario_purpose,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,P7,P8,P9,P10,C1,C2,C3,C4,C5,assessment_date,io_spec_type,criterion_camss_id,criterion_sha_id,criterion_description,score_id,score,statement_id,statement
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A1,d7be9f0dd52944e6c25f5469c86355a42ae446838bd9759b4986d21f7db4814b,The standard or specification has been included in a national catalogue from a Member State whose NIF is fully aligned with at least 4 out of 5 sections of the EIF according to NIFO factsheets.,faac9967-a7ce-4f59-8f33-ab5c6479a650,1,ef70778c-348d-4fe2-9db8-da8b78b22737,"XML is included in 5 national catalogues. They belong to Member States which comply with at least 4 out of 5 sections of the EIF according to the NIFO factsheets. 

See:
https://joinup.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss/camss-list-standards"
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A2,b6ba3f2f556446c68c55833e72b217be87ad5f0dd07744e2c39c6070aff6c10f,The standard or specification facilitates the publication of public data as open data.,87c7a2ab-b4dd-41b8-9580-f623003d0059,1,06f6427f-68d5-4564-b47f-621a29687803,"According to the 5 star Open Data model suggested by Tim Berners-Lee about how to publish linked data, the second star corresponds to make data available as structured data, an area of application of XML. 

Additionally, RDF is a W3C specification that defines XML syntax for RDF, the de facto standard for publishing Open Data. 

See:
https://5stardata.info/en/
https://www.w3.org/TR/rdf-syntax-grammar/"
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A3,f70d8bc1b4b6e186d69ea3f7f8cc7b2d75314b84e7f481ebe13b4e6ed8b36598,All stakeholders have the opportunity to contribute to the development of the specification ,8d37bbcf-b871-4460-9d37-7f86642dba4c,1,6e3e2933-e0b1-4473-b809-69ac4807fb7a,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard. Also, a clear Release Notes tracking the changes of the different versions is archived.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies "
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A4,7aa038b5496afb8cb229c692be9a2adc175deb2d5d47e35ad67e027c9eac28ba,A public review is part of the decision-making process.,f2146691-1ee7-412f-b366-abf1884f80ec,1,87bdb4a9-6bf8-4af6-bf33-304a1765849c,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard, including a public review.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies "
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A5,4a006ad6785e066d16c13daf48a60ee43ec33d1de1b06613c8e656ccf330a6d5,The standard or specification is available for everyone to study.,4c644cf2-754f-427e-830e-1153c8e3b298,1,ea5cb560-017d-42a5-82c1-48923101626d,"XML is publicly available for implementation and study for free on W3C's webpage. 

See:
https://www.w3.org/TR/2006/REC-xml11-20060816/"
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A6,e370a4af17e89cbb70bb5079082a1e21cdee85435c8fc30b12a8987f18db367f,The standard or specification is licensed on a (F)RAND basis,5ebc3736-1408-4104-9cdd-732483e8aa2d,1,079b976a-1375-4ff4-ad6d-5ec50d88f1a2,"The W3C Royalty-Free IPR licenses granted under the W3C Patent Policy apply to all W3C specifications, including XML 1.1.

See:
https://www.w3.org/TR/patent-practice#ref-AC "
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A7,ef096f898c938883daab1b22e784cfaf985b5e5c855e170ecf6eab6f37b01b50,The standard or specification is licensed on a royalty-free basis,49b27cb0-0428-45f5-b5c0-5d0e0a8642af,1,c9b0f84a-a453-4e8f-b0b3-aff27d0aa2b1,"The W3C Royalty-Free IPR licenses granted under the W3C Patent Policy apply to all W3C specifications, including XML 1.1.

See:
https://www.w3.org/TR/patent-practice#ref-AC "
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A8,a67ecbc29e70e62b18dba3ae4f8d1f91d5b3196777dbf8b58c6713cd517eb768,The standard or specification is sufficiently mature and has sufficient market acceptance for its use in the development of products and services.,ec18ca45-c8bd-4ba1-a0b7-ca3e1f16a323,1,e0c07aef-5696-478c-91c8-922eaee48b00,"The specification is a widely used de-facto standard. Thus, it is sufficiently mature for the development of products and services. Since it's recommendation by W3c in 1996, XML has been used by many products and services.

See:
https://www.w3.org/TR/2006/REC-xml11-20060816/"
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A9,cf1de0bf03a8ee372af0deddf9ef5c4609f5a7bb9c7e001c89d887c6789eaf56,The standard or specification fosters the creation of innovative solutions.,92482ea3-4162-484a-b7cc-d10a988c2678,1,6cb2fba7-ff29-49a8-93e6-d008d303cf69,"XML is a de-fact standard markup language that is used in a wide variety of solutions, including innovative solutions."
8c9b9c54f21176231185cf4455e3d23b6e3c3048d33ae408047c28088e4733f6,"XML, Extensible Markup Language 1.1",3.0.0,30/04/2019,EIF,"The European Interoperability Framework(EIF) provides guidance to public administrations on how to improve governance of their interoperability activities, establish cross-organisational relationships, streamline processes supporting end-to-end digital services, and ensure that existing and new legislation do not compromise interoperability efforts.This CAMSS Scenario allows to assess the compliance of interoperability specifications with the EIF. The objective of the obtained assessment is to determine the suitability of the assessed interoperability specification for the delivery of interoperable European public services.",5c0509f7568696d426de2893d44096f36d8ae2ba4a3fea25d0943a9fd276d640,CAMSS Team,ddf032efca18c9e6eaa97bc90924977af1d96bffe564b351a6081835c75d8164,everis,,,,CAMSS@everis.com,2019-10-31,fa3a7cf6ccb859ff672f6579e000e61d96f0756c83c13b96e3139ae97beb13bd,European Interoperability Framework (EIF),e438965c54bc7f78e6ede46f4d408abe398302a3b33e374a9ed4662b8b44df99,11540b43-b8ef-4367-9184-695f577e7391,"XML, Extensible Markup Language 1.1",https://www.w3.org/TR/2006/REC-xml11-20060816/,9636eed232bdd72a742cfe71b68d60e9ec229b756af663ec6518b2809a843c23,W3C (http://www.w3.org),,,,,,,,,,,,,10/31/2019,,A10,0229101dfe08cbe58da1e454363d30a8178a2e120466c8db23965488cae5c8b1,The standard or specification has a strong support from at least one developer community.,3cb0c1a5-08f1-43ac-86a9-4122d36a81b1,1,b7d0860d-cef6-4f0c-8653-932f825e1b92,"XML is maintained by W3C which is an international community developing open standards. 

See:
https://www.w3.org/Consortium/"
